Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-07-12,YESBANK,EQ,45.0,65.9,70.0,60.0,60.55,60.85,62.3,48988303,305213248230000.0,,15641245,0.31930000000000003
2005-07-13,YESBANK,EQ,60.85,61.0,63.0,57.45,59.3,58.7,60.21,12822324,77200653145000.0,,4502228,0.3511
2005-07-14,YESBANK,EQ,58.7,60.0,60.0,57.0,57.0,57.25,57.88,3256573,18849695775000.0,,1351714,0.41509999999999997
2005-07-15,YESBANK,EQ,57.25,56.25,64.45,56.25,61.8,61.85,61.62,15089606,92988332680000.0,,3530566,0.23399999999999999
2005-07-18,YESBANK,EQ,61.85,62.7,65.7,62.5,64.25,64.1,64.39,15136955,97474107040000.0,,4145958,0.27390000000000003
2005-07-19,YESBANK,EQ,64.1,65.0,65.0,63.1,64.15,63.95,63.88,5089187,32511246905000.0,,2053492,0.4035
2005-07-20,YESBANK,EQ,63.95,64.1,64.85,63.0,63.7,63.5,63.77,1881334,11997969765000.0,,1070031,0.5688000000000001
2005-07-21,YESBANK,EQ,63.5,63.9,64.0,62.25,62.5,62.5,63.17,2032914,12842374005000.0,,1271909,0.6257
2005-07-22,YESBANK,EQ,62.5,62.8,63.0,61.8,62.0,62.05,62.5,1005201,6282375180000.0,,549834,0.547
2005-07-25,YESBANK,EQ,62.05,63.0,63.0,61.1,61.1,61.4,61.72,1080697,6670504255000.0,,628107,0.5811999999999999
2005-07-26,YESBANK,EQ,61.4,61.6,64.0,61.0,62.45,62.45,62.5,2329540,14560194480000.002,,1009630,0.43340000000000006
2005-07-27,YESBANK,EQ,62.45,63.3,64.5,62.35,63.25,63.55,63.56,2496204,15865150885000.0,,1148775,0.46020000000000005
2005-07-29,YESBANK,EQ,63.55,63.55,64.25,62.0,62.85,62.45,63.16,1237293,7814840340000.001,,628365,0.5079
2005-08-01,YESBANK,EQ,62.45,63.05,64.3,62.75,63.55,63.3,63.49,3590938,22797812745000.0,,1971587,0.549
